"ï..Record.ID","Survey.Identifier","Survey.Timestamp","Participant.classification","Please.enter.your.classification","College","Main.department","Main.department.1","Please.write.down.your.main.department","Gender","Race.Ethnicity","Please.enter.your.ethnicity","What.type.of.computer.user.are.you.","My.primary.computer.is.a","What.year.was.your.computer.purchased.","What.is.the.size.of.your.computer.screen.","The.screen.size.of.your.computer","Do.you.have.a.warranty.on.your.computer.","Warranty.on.your.computer","Do.you.have.a.webcam.","How.would.you.rate.your.computer.","What.model.is.your.computer.","Computer.model","Computer.ownership","Computer.ownership.1","What.is.the.operating.system.that.you.use.","Operating.system","Operating.system.version","Operating.system.version.1","Computer.processor","Please.write.your.computer.processor","Computer.memory.size..RAM.","Computer.hard.disk","Current.size.of.your.data.in.the.computer.s.hard.disk","Do.you.backup.the.data.from.your.computer.","What.backup.method.do.you.use.","Brand.of.external.back.up.disk","Please.write.down.the.brand.of.external.back.up.disk","Brand.of.cloud","Please.write.down.the.brand.of.your.cloud.back.up","Backup.frequency","Have.you.set.up.automatic.backups.","Have.you.experienced.a.catastrophic.loss.of.data.in.the.last.three.years.","Are.you.familiar.with.the.UH.Microsoft.365.OneDrive.for.automated..incremental.backups.","Do.you.have.a.secondary.computer.device.","Is.it.synced.with.your.primary.computer.device.","Do.you.have.a.smartphone.","Smartphone.brand","Please.write.down.the.name.of.your.smartphone","Smartphone.model","Please.write.down.the.model.of.your.smartphone","Do.you.have.a.smartwatch.","Smartwatch.brand","Please.write.down.the.name.of.your.smartwatch","Smartwatch.model","Please.write.down.the.model.of.your.smartwatch","What.is.your.preferred.course.delivery.format.for.courses.in.the.Fall.2020.semester.","How.confident.do.you.feel.installing.and.configuring.software..docker.containers..VPN..backup.software..and.others..by.yourself.on.your.computer.","Speed.of.your.home.Internet","Given.your.online.course.experience.from.Spring.2020..how.reliable.has.your.Internet.connectivity.been.overall.","If.you.were.provided.adequate.IT.support.to.setup.your.primary.computers.with.needed.coursework.software..how.likely.would.you.use.the.on.campus.Computer.Labs.in.a.future.semester.","Would.it.be.beneficial.for.IT.personnel.to.have.office.hours..like.a.help.desk..to.assist.you.with.with.course.related.software.issues..general.computer.systems.issues..and.other.related.challenges.","Complete."
1526,NA,"2020-08-05 13:57:03","Staff","","College of Natural Sciences and Mathematics","Chemistry","","","Male","White","","Standard User","Desktop",2010,"13''","","No","","No","Poor","Other","Dell XP system.  Need Win XP to run graphics properly.","University property","","Windows OS","","Other","Windows XP","Other","whatever they had in 2010!","16 GB","512 GB","100 GB - 500 GB","Yes","External backup disk","Samsung","","","","Other","No","No","No","Yes","No","Yes","iPhone","","iPhone 11","","No","","","","","Hybrid/Blended","Somewhat confident","> 500 Mbps","Good","","","Complete"
1527,NA,"2020-08-05 14:24:04","Staff","","College of Natural Sciences and Mathematics","Other","","NSM Dean's Office","Male","African American","","Standard User","Laptop",2016,"15''","","No","","Built-in","Average","Other","Lenovo IdeaPad 300","Own","","Windows OS","","Windows 10 Home","","Intel Core i5","","8 GB","256 GB","100 GB - 500 GB","No","","","","","","","","No","Yes","No","","Yes","Other","LG","Other","G5","No","","","","","Fully Online","Very confident","> 500 Mbps","Good","","","Complete"
1528,NA,"2020-08-05 14:27:14","Professor","","College of Natural Sciences and Mathematics","Mathematics","","","Male","White","","Standard User","Laptop",2017,"15''","","3 year","","Built-in","Good","Apple Macbook Pro","","Own","","Mac OS","","Catalina","","Intel Core i7","","8 GB","> 1 TB","> 1 TB","Yes","Both","Seagate","","Apple iCloud","","Daily","Yes","No","No","No","","Yes","iPhone","","iPhone X Series","","No","","","","","Face-to-Face","Neutral","100 - 300 Mbps","Fair","","","Complete"
1529,NA,"2020-08-05 16:51:43","Staff","","College of Natural Sciences and Mathematics","Earth and Atmospheric Sciences","","","Female","Hispanic","","Standard User","Desktop",2016,"Other","27""","No","","No","Average","Other","Lenovo ideacentre 300","University property","","Windows OS","","Windows 10 Home","","Intel Core i7","","8 GB","1 TB","500 GB - 1 TB","Yes","External backup disk","Other","Synology NAS","","","Other","Yes","No","Yes","Yes","No","Yes","Samsung","","Other","S7","No","","","","","Hybrid/Blended","Very confident","300 - 500 Mbps","Average","","","Complete"
1530,NA,"2020-08-05 14:34:32","Staff","","College of Natural Sciences and Mathematics","Other","","Dean's Office","Male","Hispanic","","Standard User","Desktop",2017,"Other","27''","No","","Built-in","Excellent","Other","iMac","Own","","Mac OS","","Catalina","","Intel Core i5","","8 GB","1 TB","100 GB - 500 GB","No","","","","","","","","No","Yes","Yes","Yes","Yes","iPhone","","iPhone 11","","Yes","Apple Watch","","Other","Apple Watch 1","Fully Online","Moderately confident","300 - 500 Mbps","Good","","","Complete"
1531,NA,"2020-08-05 14:49:16","Staff","","College of Natural Sciences and Mathematics","Other","","Undergraduate Advising Center","Female","White","","Standard User","Laptop",2017,"14''","","No","","Built-in","Good","Microsoft Surface","","Own","","Windows OS","","Windows 10 Pro","","Intel Core i5","","8 GB","128 GB","100 GB - 500 GB","No","","","","","","","","No","No","No","","Yes","Google","","Google Pixel 3a","","No","","","","","Fully Online","Moderately confident","300 - 500 Mbps","Average","","","Complete"
1532,NA,"2020-08-05 15:03:26","Other","Lecturer","College of Natural Sciences and Mathematics","Physics","","","Female","White","","Power User","Desktop",2017,"Other","23","No","","Built-in","Average","Other","Asus","University property","","Windows OS","","Windows 10 Pro","","Intel Core i5","","8 GB","1 TB","100 GB - 500 GB","Yes","Cloud","","","Dropbox","","Daily","Yes","No","Yes","Yes","Yes","Yes","iPhone","","iPhone X Series","","Yes","Apple Watch","","Apple Watch 3","","Fully Online","Very confident","> 500 Mbps","Excellent","","","Complete"
1533,NA,"2020-08-05 15:25:35","Professor","","College of Natural Sciences and Mathematics","Mathematics","","","Male","White","","Standard User","Desktop",2014,"Other","27""","No","","External","Fair","Other","Nuc","University property","","Windows OS","","Windows 10 Pro","","Intel Core i5","","8 GB","128 GB","< 100 GB","Yes","Cloud","","","Microsoft OneDrive","","Daily","Yes","No","Yes","Yes","No","Yes","iPhone","","iPhone 8","","Yes","Apple Watch","","Apple Watch 5","","Fully Online","Very confident","300 - 500 Mbps","Excellent","","","Complete"
1534,NA,"2020-08-05 15:37:31","Assistant Professor","","College of Natural Sciences and Mathematics","Mathematics","","","Male","White","","Power User","Laptop",2018,"Other","27''","3 year","","Built-in","Excellent","Apple Macbook Pro","","University property","","Mac OS","","Catalina","","Intel Core i5","","16 GB","512 GB","100 GB - 500 GB","Yes","Both","","","Apple iCloud","","Daily","Yes","No","Yes","No","","Yes","iPhone","","iPhone X Series","","No","","","","","Fully Online","Very confident","100 - 300 Mbps","Excellent","","","Complete"
1535,NA,"2020-08-05 17:04:50","Assistant Professor","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Male","Prefer Not to Say","","Standard User","Desktop",2017,"Other","27","No","","Built-in","Excellent","Other","iMac","University property","","Mac OS","","Mojave","","Intel Core i5","","8 GB","1 TB","100 GB - 500 GB","Yes","External backup disk","WD","","","","Monthly","No","Yes","Yes","Yes","No","Yes","iPhone","","Other","iPhone 7","No","","","","","Face-to-Face","Neutral","100 - 300 Mbps","Poor","","","Complete"
1536,NA,"2020-08-05 17:13:07","Staff","","College of Natural Sciences and Mathematics","Other","","NSM Dean's Office","Male","Asian American","","Standard User","Laptop",2017,"15''","","No","","Built-in","Good","Apple Macbook Pro","","University property","","Mac OS","","Catalina","","Intel Core i7","","16 GB","512 GB","100 GB - 500 GB","Yes","External backup disk","Other","Lacie","","","Weekly","Yes","No","No","No","","Yes","iPhone","","iPhone X Series","","Yes","Apple Watch","","Apple Watch 4","","Fully Online","Very confident","> 500 Mbps","Excellent","","","Complete"
1538,NA,"2020-08-05 18:34:21","Professor","","College of Natural Sciences and Mathematics","Computer Science","","","Male","White","","Standard User","Laptop",2018,"15''","","3 year","","Built-in","Average","Lenovo ThinkPad","","University property","","Windows OS","","Windows 10 Pro","","Intel Core i7","","32 GB","1 TB","500 GB - 1 TB","Yes","Cloud","","","Other","Carbonite","Daily","Yes","Yes","Yes","No","","Yes","Samsung","","Samsung Galaxy","","No","","","","","Fully Online","Not confident","< 100 Mbps","Good","","","Complete"
1540,NA,"2020-08-05 19:38:03","Sophomore","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Male","White","","Standard User","Laptop",2019,"15''","","3 year","","Built-in","Excellent","Apple Macbook Pro","","Own","","Mac OS","","Catalina","","Intel Core i7","","32 GB","512 GB","100 GB - 500 GB","Yes","Cloud","","","Microsoft OneDrive","","Daily","Yes","No","Yes","Yes","Yes","Yes","iPhone","","iPhone X Series","","Yes","Apple Watch","","Apple Watch 3","","Face-to-Face","Moderately confident","> 500 Mbps","Good","Very unlikely","Maybe","Complete"
1541,NA,"2020-08-05 21:25:58","Associate Professor","","College of Natural Sciences and Mathematics","Earth and Atmospheric Sciences","","","Female","White","","Standard User","Laptop",2018,"14''","","No","","Built-in","Fair","Apple Macbook Pro","","Own","","Mac OS","","Catalina","","Intel Core i5","","8 GB","256 GB","100 GB - 500 GB","Yes","External backup disk","Seagate","","","","Weekly","Yes","No","Yes","Yes","No","Yes","iPhone","","iPhone 8","","No","","","","","Fully Online","Neutral","100 - 300 Mbps","Average","","","Complete"
1543,NA,"2020-08-05 22:53:38","Professor","","College of Natural Sciences and Mathematics","Earth and Atmospheric Sciences","","","Female","Asian American","","Power User","Desktop",2017,"Other","21. 5","No","","Built-in","Average","Other","Imac","University property","","Mac OS","","Other","10. 12. 6","Intel Core i5","","16 GB","1 TB","500 GB - 1 TB","Yes","External backup disk","Seagate","","","","Other","No","No","No","Yes","No","Yes","Other","Vivo","Other","Vivo","No","","","","","Fully Online","Somewhat confident","300 - 500 Mbps","Average","","","Complete"
1544,NA,"2020-08-05 22:58:23","Staff","","College of Natural Sciences and Mathematics","Mathematics","","","Female","White","","Standard User","Laptop",2017,"14''","","Other","5 years","Built-in","Good","Lenovo ThinkPad","","University property","","Windows OS","","Windows 10 Enterprise","","Intel Core i7","","16 GB","512 GB","100 GB - 500 GB","Yes","Both","WD","","Other","Math department server space","Monthly","No","No","No","Yes","No","Yes","iPhone","","Other","iPhone 6","No","","","","","Fully Online","Moderately confident","100 - 300 Mbps","Good","","","Complete"
1546,NA,"2020-08-06 00:58:15","Senior","","College of Natural Sciences and Mathematics","Earth and Atmospheric Sciences","","","Female","Asian American","","Standard User","Laptop",2019,"17''","","No","","Built-in","Fair","Other","HP Pavilion","Own","","Windows OS","","Windows 10 Home","","Intel Core i5","","4 GB","128 GB","< 100 GB","No","","","","","","","","Yes","Yes","Yes","No","Yes","iPhone","","Other","iPhone 7","No","","","","","Hybrid/Blended","Neutral","< 100 Mbps","Poor","Neither likely nor unlikely","Maybe","Complete"
1548,NA,"2020-08-06 07:24:30","Professor","","College of Natural Sciences and Mathematics","Physics","","","Male","White","","Power User","Laptop",2016,"17''","","No","","Built-in","Excellent","Dell Inspiron 7000","","University property","","Windows OS","","Windows 10 Pro","","Intel Core i7","","16 GB","512 GB","100 GB - 500 GB","Yes","External backup disk","WD","","","","Other","No","No","No","Yes","No","Yes","Samsung","","Samsung Galaxy","","Yes","Other","Fossil","Other","Fossil Sport","Hybrid/Blended","Very confident","> 500 Mbps","Average","","","Complete"
1549,NA,"2020-08-06 08:49:06","Instructional Faculty","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Female","Hispanic","","Standard User","Laptop",2020,"13''","","Other","UH provided laptop","Built-in","Good","Dell Latitude 7000","","University property","","Windows OS","","Windows 10 Pro","","Intel Core i7","","16 GB","512 GB","100 GB - 500 GB","Yes","Cloud","","","Microsoft OneDrive","","Weekly","No","No","No","No","","Yes","Other","Motorola","Other","G4","No","","","","","Fully Online","Moderately confident","100 - 300 Mbps","Good","","","Complete"
1551,NA,"2020-08-06 10:16:38","Staff","","College of Natural Sciences and Mathematics","Mathematics","","","Female","African American","","Power User","Laptop",2012,"15''","","Other","Not sure, was given to me by the department.","Built-in","Good","Apple Macbook Pro","","University property","","Mac OS","","High Sierra","","Intel Core i7","","16 GB","512 GB","100 GB - 500 GB","Yes","Cloud","","","Other","Apple iCloud, Microsoft One Drive, Google Drive","Weekly","Yes","No","Yes","Yes","No","Yes","iPhone","","iPhone 11","","Yes","Fitbit","","Other","Fitbit Blaze","Fully Online","Very confident","100 - 300 Mbps","Good","","","Complete"
1552,NA,"2020-08-06 11:00:55","Instructional Faculty","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Male","White","","Standard User","Desktop",2016,"Other","3 x 24""","No","","No","Good","Other","self built","Own","","Windows OS","","Windows 10 Home","","Intel Core i5","","32 GB","> 1 TB","> 1 TB","Yes","Cloud","","","Microsoft OneDrive","","Other","No","No","Yes","Yes","No","Yes","iPhone","","iPhone 11","","Yes","Fitbit","","Other","Fitbit Blaze","Face-to-Face","Very confident","300 - 500 Mbps","Excellent","","","Complete"
1555,NA,"2020-08-06 15:53:53","Instructional Faculty","","College of Natural Sciences and Mathematics","Physics","","","Female","White","","Standard User","Laptop",2016,"15''","","No","","Built-in","Good","Apple Macbook Pro","","University property","","Mac OS","","Catalina","","Intel Core i7","","16 GB","256 GB","100 GB - 500 GB","Yes","External backup disk","Seagate","","","","Daily","Yes","No","No","Yes","Yes","Yes","iPhone","","Other","SE","No","","","","","Hybrid/Blended","Moderately confident","< 100 Mbps","Good","","","Complete"
1556,NA,"2020-08-06 15:50:59","Professor","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Male","White","","Power User","Laptop",2019,"17''","","3 year","","Built-in","Good","Dell Inspiron 3000","","Own","","Windows OS","","Windows 10 Pro","","Intel Core i7","","8 GB","> 1 TB","100 GB - 500 GB","Yes","External backup disk","Other","Not sure","","","Other","Yes","No","No","Yes","No","Yes","Samsung","","Samsung Galaxy","","No","","","","","Fully Online","Moderately confident","100 - 300 Mbps","Good","","","Complete"
1557,NA,"2020-08-06 16:16:09","Professor","","College of Natural Sciences and Mathematics","Mathematics","","","Male","White","","Power User","Desktop",2014,"Other","27 inch","3 year","","Built-in","Good","Other","Apple iMac","University property","","Mac OS","","High Sierra","","Intel Core i7","","16 GB","> 1 TB","500 GB - 1 TB","Yes","External backup disk","WD","","","","Daily","Yes","No","Yes","Yes","No","Yes","iPhone","","Other","SE","No","","","","","Hybrid/Blended","Moderately confident","> 500 Mbps","Good","","","Complete"
1558,NA,"2020-08-06 21:21:39","Staff","","College of Natural Sciences and Mathematics","Other","","NSM-Dean","Male","White","","Standard User","Desktop",2015,"Other","24""","No","","External","Good","Other","HP ENVY 700 PC","Own","","Windows OS","","Windows 10 Home","","Intel Core i7","","8 GB","1 TB","100 GB - 500 GB","Yes","Cloud","","","Google Drive","","Daily","Yes","No","No","Yes","No","Yes","iPhone","","iPhone 8","","No","","","","","Hybrid/Blended","Very confident","< 100 Mbps","Average","","","Complete"
1560,NA,"2020-08-07 09:42:12","Staff","","College of Natural Sciences and Mathematics","Earth and Atmospheric Sciences","","","Male","Asian American","","Power User","Laptop",2012,"17''","","3 year","","External","Excellent","Other","M6500","University property","","Windows OS","","Windows 10 Enterprise","","Intel Core i7","","16 GB","512 GB","100 GB - 500 GB","Yes","External backup disk","WD","","","","Weekly","No","No","Yes","No","","Yes","Samsung","","Samsung Galaxy","","No","","","","","Fully Online","Very confident","100 - 300 Mbps","Average","","","Complete"
1561,NA,"2020-08-07 10:25:31","Staff","","College of Natural Sciences and Mathematics","Other","","Dean's Office","Female","White","","Standard User","Laptop",2014,"15''","","No","","Built-in","Excellent","Apple Macbook Pro","","University property","","Mac OS","","High Sierra","","Intel Core i7","","16 GB","512 GB","100 GB - 500 GB","Yes","External backup disk","Other","Porsche","","","Other","Yes","No","No","Yes","No","Yes","iPhone","","iPhone X Series","","No","","","","","Fully Online","Somewhat confident","300 - 500 Mbps","Excellent","","","Complete"
1562,NA,"2020-08-07 11:51:12","Professor","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Male","White","","Power User","Laptop",2017,"15''","","No","","Built-in","Good","Dell Latitude 7000","","University property","","Windows OS","","Windows 10 Pro","","Intel Core i7","","32 GB","512 GB","100 GB - 500 GB","Yes","Cloud","","","Other","sync.com","Daily","Yes","No","Yes","Yes","Yes","Yes","Samsung","","Samsung Galaxy","","No","","","","","Hybrid/Blended","Very confident","100 - 300 Mbps","Good","","","Complete"
1563,NA,"2020-08-07 11:50:09","Instructional Faculty","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Female","White","","Standard User","Laptop",2018,"13''","","1 year","","Built-in","Excellent","Apple Macbook Pro","","University property","","Mac OS","","High Sierra","","Intel Core i5","","8 GB","256 GB","100 GB - 500 GB","Yes","Both","WD","","Dropbox","","Monthly","No","No","No","Yes","No","Yes","iPhone","","iPhone 11","","No","","","","","Fully Online","Moderately confident","300 - 500 Mbps","Excellent","","","Complete"
1565,NA,"2020-08-07 14:27:54","Postdoctoral","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Male","International","","Standard User","Desktop",2016,"17''","","1 year","","External","Good","Lenovo Yoga","","Own","","Windows OS","","Windows 10 Home","","Intel Core i5","","8 GB","1 TB","100 GB - 500 GB","No","","","","","","","","No","Yes","Yes","No","Yes","Other","Motorola MotoX4","Other","Motorola","No","","","","","Fully Online","Not confident","< 100 Mbps","Average","","","Complete"
1570,NA,"2020-08-11 02:21:50","Associate Professor","","College of Natural Sciences and Mathematics","Biology and Biochemistry","","","Female","White","","Power User","Laptop",2019,"15''","","1 year","","Built-in","Excellent","Apple Macbook Pro","","Own","","Mac OS","","Catalina","","Intel Core i9","","32 GB","> 1 TB","500 GB - 1 TB","Yes","Both","Seagate","","Apple iCloud","","Daily","Yes","No","No","Yes","No","Yes","iPhone","","Other","6S","No","","","","","Fully Online","Moderately confident","300 - 500 Mbps","Good","","","Complete"
1573,NA,"2020-08-14 16:39:15","Professor","","College of Natural Sciences and Mathematics","Computer Science","","","Male","White","","Power User","Laptop",2019,"15''","","1 year","","Built-in","Excellent","Microsoft Surface","","University property","","Windows OS","","Windows 10 Pro","","Intel Core i5","","8 GB","256 GB","< 100 GB","Yes","Cloud","","","Microsoft OneDrive","","Other","Yes","No","Yes","Yes","No","Yes","Other","Motorola","Other","Moto X 4","No","","","","","Fully Online","Moderately confident","< 100 Mbps","Good","","","Complete"
