"Record ID","Survey Identifier","Survey Timestamp","Participant classification","Please enter your classification",College,"Main department","Main department","Please write down your main department",Gender,Race/Ethnicity,"Please enter your ethnicity","What type of computer user are you?","My primary computer is a","What year was your computer purchased?","What is the size of your computer screen?","The screen size of your computer","Do you have a warranty on your computer?","Warranty on your computer","Do you have a webcam?","How would you rate your computer?","What model is your computer?","Computer model","Computer ownership","Computer ownership","What is the operating system that you use?","Operating system","Operating system version","Operating system version","Computer processor","Please write your computer processor","Computer memory size (RAM)","Computer hard disk","Current size of your data in the computer's hard disk","Do you backup the data from your computer?","What backup method do you use?","Brand of external back-up disk","Please write down the brand of external back-up disk","Brand of cloud","Please write down the brand of your cloud back-up","Backup frequency","Have you set up automatic backups?","Have you experienced a catastrophic loss of data in the last three years?","Are you familiar with the UH Microsoft 365 OneDrive for automated, incremental backups?","Do you have a secondary computer device?","Is it synced with your primary computer device?","Do you have a smartphone?","Smartphone brand","Please write down the name of your smartphone","Smartphone model","Please write down the model of your smartphone","Do you have a smartwatch?","Smartwatch brand","Please write down the name of your smartwatch","Smartwatch model","Please write down the model of your smartwatch","What is your preferred course delivery format for courses in the Fall 2020 semester?","How confident do you feel installing and configuring software (docker containers, VPN, backup software, and others) by yourself on your computer?","Speed of your home Internet","Given your online course experience from Spring 2020, how reliable has your Internet connectivity been overall?","If you were provided adequate IT support to setup your primary computers with needed coursework software, how likely would you use the on campus Computer Labs in a future semester?","Would it be beneficial for IT personnel to have office hours (like a help desk) to assist you with with course-related software issues, general computer systems issues, and other related challenges?",Complete?
852,,"2020-07-27 16:19:31",Junior,,"College of Liberal Arts and Social Sciences",,"Health and Human Performance",,Male,"Asian American",,"Standard User [document writing/email/web]",Desktop,2013,14'',,No,,No,Fair,"Apple Macbook Air",,Own,,"Mac OS",,"High Sierra",,"Intel Core i7",,"> 32 GB","1 TB","> 1 TB",Yes,Cloud,,,"Apple iCloud",,Monthly,Yes,No,No,No,,Yes,iPhone,,"iPhone X Series",,No,,,,,"Fully Online","Not confident","< 100 Mbps",Fair,"Very unlikely",Maybe,Complete
853,,"2020-07-27 16:23:58",Freshman,,"College of Liberal Arts and Social Sciences",,Psychology,,Male,Hispanic,,"Standard User [document writing/email/web]",Laptop,2018,13'',,"1 year",,"Built-in to my computer",Good,"Apple Macbook Pro",,Own,,"Mac OS",,Mojave,,"Intel Core i5",,"8 GB","128 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone 11",,No,,,,,Face-to-Face,"Very confident","< 100 Mbps",Good,"Very unlikely",Yes,Complete
854,,"2020-07-27 16:20:13",Sophomore,,"College of Liberal Arts and Social Sciences",,Other,"Kinesiology ",Female,"Prefer Not to Say",,"Standard User [document writing/email/web]",Laptop,2019,17'',,"1 year",,"Built-in to my computer",Excellent,"Apple Macbook Air",,Own,,"Mac OS",,Other,Idk,"Intel Core i5",,"32 GB","128 GB","100 GB - 500 GB",Yes,Cloud,,,"Apple iCloud",,Other,No,No,Yes,Yes,No,Yes,iPhone,,"iPhone 11",,No,,,,,Hybrid/Blended,"Not confident","100 - 300 Mbps",Good,"Very unlikely",Yes,Complete
855,,"[not completed]",Senior,,"College of Liberal Arts and Social Sciences",,"Modern and Classical Languages",,Male,Hispanic,,"Standard User [document writing/email/web]",Laptop,2012,13'',,No,,External,Average,"Apple Macbook Air",,Own,,"Mac OS",,Mojave,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
856,,"2020-07-27 16:24:46",Freshman,,"College of Liberal Arts and Social Sciences",,Other,Nutrition,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2015,15'',,No,,"Built-in to my computer",Good,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,Other,Apple,"16 GB","1 TB","< 100 GB",No,,,,,,,,No,No,Yes,No,Yes,iPhone,,"iPhone X Series",,No,,,,,"Fully Online","Somewhat confident","300 - 500 Mbps",Excellent,"Very unlikely",Yes,Complete
857,,"2020-07-27 16:23:33",Junior,,"College of Liberal Arts and Social Sciences",,History,,Female,White,,"Standard User [document writing/email/web]",Laptop,2012,17'',,No,,No,Poor,Other,Lenovo,Own,,"Windows OS",,"Windows 10 Home",,Other,"I'm not sure","16 GB","128 GB","< 100 GB",No,,,,,,,,Yes,No,No,,Yes,iPhone,,Other,"7S ",No,,,,,"Fully Online",Neutral,"> 500 Mbps",Excellent,"Very likely",Yes,Complete
858,,"[not completed]",Freshman,,"College of Liberal Arts and Social Sciences",,"Communication Sciences and Disorders",,Female,Hispanic,,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
859,,"[not completed]",Freshman,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,"African American",,"Standard User [document writing/email/web]",Laptop,2020,15'',,No,,"Built-in to my computer",Good,"Lenovo Yoga",,Own,,"Windows OS",,"Windows 10 Home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
860,,"2020-07-27 16:32:22",Junior,,"College of Liberal Arts and Social Sciences",,Other,Kinesiology,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2018,13'',,No,,"Built-in to my computer",Excellent,"Apple Macbook Air",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"8 GB","128 GB","< 100 GB",No,,,,,,,,No,No,Yes,No,Yes,iPhone,,"iPhone 11",,Yes,"Apple Watch",,"Apple Watch 3",,Face-to-Face,Neutral,"100 - 300 Mbps",Good,"Neither likely nor unlikely",Maybe,Complete
861,,"2020-07-27 16:27:14","Doctoral Student (PhD)",,"College of Liberal Arts and Social Sciences",,Psychology,,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2020,14'',,No,,"Built-in to my computer",Good,Other,Asus,Own,,"Windows OS",,"Windows 10 Home",,"AMD Ryzen",,"8 GB","> 1 TB","< 100 GB",Yes,Cloud,,,"Microsoft OneDrive",,Daily,Yes,No,Yes,No,,Yes,iPhone,,Other,"iPhone 5S",No,,,,,"Fully Online","Very confident","300 - 500 Mbps",Good,"Somewhat unlikely",Yes,Complete
862,,"[not completed]",Senior,,"College of Liberal Arts and Social Sciences",,"Political Science",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2017,13'',,No,,"Built-in to my computer",Average,Other,Hp,Own,,"Windows OS",,"Windows 10 Home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
863,,"2020-07-27 16:31:53",Sophomore,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,"African American",,"Standard User [document writing/email/web]",Laptop,2017,14'',,No,,"Built-in to my computer",Poor,Other,"Dell Latitude E5440",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","128 GB","< 100 GB",No,,,,,,,,No,Yes,No,,Yes,Samsung,,"Samsung Galaxy",,No,,,,,Hybrid/Blended,"Not confident","100 - 300 Mbps",Average,"Somewhat likely",Yes,Complete
864,,"[not completed]","Doctoral Student (PhD)",,"College of Liberal Arts and Social Sciences",,"Hispanic Studies",,Female,Hispanic,,"Power User [... plus programming/analytics]",Laptop,2017,13'',,No,,"Built-in to my computer",Average,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
865,,"[not completed]",Junior,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,"African American",,"Standard User [document writing/email/web]",Laptop,2018,13'',,No,,"Built-in to my computer",Average,"Apple Macbook Air",,Own,,"Mac OS",,"High Sierra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
866,,"2020-07-27 21:10:29",Sophomore,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2019,13'',,"1 year",,"Built-in to my computer",Excellent,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"8 GB","256 GB","100 GB - 500 GB",Yes,Cloud,,,"Apple iCloud",,Monthly,Yes,No,No,No,,Yes,iPhone,,"iPhone 11",,Yes,"Apple Watch",,"Apple Watch 3",,Hybrid/Blended,"Moderately confident","100 - 300 Mbps",Good,"Somewhat unlikely",Yes,Complete
867,,"2020-07-27 16:26:53","Doctoral Student (PhD)",,"College of Liberal Arts and Social Sciences",,"Political Science",,Male,White,,"Power User [... plus programming/analytics]",Laptop,2017,15'',,No,,"Built-in to my computer",Excellent,Other,"Dell G5 15",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"32 GB","1 TB","500 GB - 1 TB",Yes,Both,Samsung,,"Google Drive",,Weekly,Yes,No,Yes,Yes,No,Yes,Other,Lg,Other,"V40 thinQ",Yes,Fitbit,,Other,"Inspire HR",Hybrid/Blended,"Very confident","< 100 Mbps",Good,"Very likely",Yes,Complete
868,,"[not completed]",Senior,,"College of Liberal Arts and Social Sciences",,"Health and Human Performance",,Female,White,,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
869,,"2020-07-27 16:33:21",Freshman,,"College of Liberal Arts and Social Sciences",,Psychology,,Male,"Asian American",,"Standard User [document writing/email/web]",Desktop,2018,Other,24,No,,No,Poor,Other,"Self built",Own,,"Windows OS",,"Windows 10 Home",,"AMD Ryzen",,"16 GB","> 1 TB","500 GB - 1 TB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone 11",,No,,,,,Face-to-Face,"Not confident","< 100 Mbps",Average,"Neither likely nor unlikely",Maybe,Complete
870,,"[not completed]",Freshman,,"College of Liberal Arts and Social Sciences",,"Health and Human Performance",,Female,"African American",,"Standard User [document writing/email/web]",Laptop,2020,Other,16',No,,"Built-in to my computer",Excellent,"Apple Macbook Pro",,Own,,"Mac OS",,"Windows 10 Pro",,"Intel Core i9",,"16 GB","512 GB","> 1 TB",No,,,,,,,,No,Yes,No,,Yes,iPhone,,"iPhone X Series",,No,,,,,,,,,,,Incomplete
871,,"2020-07-27 16:31:02",Sophomore,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2020,13'',,"1 year",,"Built-in to my computer",Excellent,"Apple Macbook Air",,Own,,"Mac OS",,Catalina,,"Intel Core i7",,"32 GB","512 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,No,,Yes,iPhone,,"iPhone 11",,Yes,"Apple Watch",,"Apple Watch 3",,Face-to-Face,"Moderately confident","> 500 Mbps",Good,"Somewhat likely",Maybe,Complete
872,,"2020-07-27 16:28:06",Junior,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,"African American",,"Standard User [document writing/email/web]",Laptop,2018,13'',,No,,"Built-in to my computer",Average,"Apple Macbook Air",,Own,,"Mac OS",,"High Sierra",,"Intel Core i5",,"8 GB","128 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,"Apple Watch 4",,"Fully Online",Neutral,"300 - 500 Mbps",Good,"Somewhat likely",Yes,Complete
873,,"2020-07-27 16:32:34",Junior,,"College of Liberal Arts and Social Sciences",,"Jack J. Valenti School of Communication",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2018,13'',,No,,"Built-in to my computer",Good,Other,"HP Pavilion x360",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"16 GB","512 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,Yes,No,Yes,iPhone,,"iPhone 8",,Yes,"Apple Watch",,"Apple Watch 4",,Face-to-Face,"Somewhat confident","300 - 500 Mbps",Excellent,"Neither likely nor unlikely",Yes,Complete
874,,"2020-07-27 16:29:01",Senior,,"College of Liberal Arts and Social Sciences",,"Jack J. Valenti School of Communication",,Male,Hispanic,,"Standard User [document writing/email/web]",Laptop,2018,13'',,"1 year",,"Built-in to my computer",Good,"Lenovo Yoga",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","128 GB","< 100 GB",Yes,Cloud,,,"Microsoft OneDrive",,Daily,Yes,No,No,No,,Yes,Samsung,,"Samsung Galaxy",,No,,,,,"Fully Online",Neutral,"< 100 Mbps",Fair,"Somewhat unlikely",Maybe,Complete
875,,"2020-07-27 16:28:44","Doctoral Student (PhD)",,"College of Liberal Arts and Social Sciences",,Psychology,,Female,White,,"Power User [... plus programming/analytics]",Laptop,2017,13'',,"1 year",,"Built-in to my computer",Poor,"Apple Macbook Air",,Own,,"Mac OS",,Mojave,,"Intel Core i5",,"8 GB","128 GB","100 GB - 500 GB",Yes,"External backup disk",Seagate,,,,Monthly,No,Yes,No,No,,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,"Apple Watch 4",,"Fully Online","Moderately confident","300 - 500 Mbps",Excellent,"Very unlikely",Yes,Complete
876,,"2020-07-27 16:31:32",Senior,,"College of Liberal Arts and Social Sciences",,English,,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2019,15'',,No,,"Built-in to my computer",Average,Other,"HP Pavilion",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"8 GB","1 TB","100 GB - 500 GB",No,,,,,,,,No,Yes,No,,Yes,iPhone,,"iPhone X Series",,No,,,,,Hybrid/Blended,"Somewhat confident","< 100 Mbps",Fair,"Neither likely nor unlikely",Maybe,Complete
877,,"2020-07-27 16:30:55",Junior,,"College of Liberal Arts and Social Sciences",,"Comparative Cultural Studies",,Non-binary/non-conforming,Hispanic,,"Standard User [document writing/email/web]",Laptop,2020,14'',,No,,"Built-in to my computer",Good,"Microsoft Surface",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"4 GB","1 TB","500 GB - 1 TB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone 8",,Yes,"Apple Watch",,"Apple Watch 5",,"Fully Online",Neutral,"< 100 Mbps",Poor,"Somewhat unlikely",Maybe,Complete
878,,"2020-07-27 16:30:59",Freshman,,"College of Liberal Arts and Social Sciences",,"Comparative Cultural Studies",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2017,14'',,No,,"Built-in to my computer",Good,Other,HP,Own,,"Chrome OS",,"Windows 10 Home",,"Intel Core i9",,"8 GB","128 GB","< 100 GB",No,,,,,,,,No,Yes,No,,Yes,iPhone,,Other,"iPhone 5SE",Yes,"Apple Watch",,"Apple Watch 5",,Face-to-Face,"Not confident","100 - 300 Mbps",Average,"Neither likely nor unlikely",Maybe,Complete
879,,"2020-07-27 16:30:41",Junior,,"College of Liberal Arts and Social Sciences",,"Political Science",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2019,15'',,"1 year",,"Built-in to my computer",Good,Other,"HP ENVY 360",Own,,"Windows OS",,"Windows 10 Pro",,"AMD Ryzen",,"8 GB","256 GB","< 100 GB",No,,,,,,,,No,Yes,No,,Yes,iPhone,,"iPhone 8",,No,,,,,"Fully Online","Not confident","300 - 500 Mbps",Excellent,"Somewhat likely",No,Complete
880,,"2020-07-27 17:02:44",Freshman,,"College of Liberal Arts and Social Sciences",,"Health and Human Performance",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2020,13'',,No,,"Built-in to my computer",Excellent,"Apple Macbook Air",,Own,,"Mac OS",,Other,"Mac OS X","Intel Core i5",,"8 GB","512 GB","< 100 GB",Yes,Cloud,,,"Apple iCloud",,Daily,Yes,No,No,No,,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,"Apple Watch 3",,Hybrid/Blended,Neutral,"300 - 500 Mbps",Good,"Somewhat likely",Yes,Complete
881,,"2020-07-27 16:35:17",Junior,,"College of Liberal Arts and Social Sciences",,"Jack J. Valenti School of Communication",,Male,Hispanic,,"Standard User [document writing/email/web]",Laptop,2016,13'',,No,,"Built-in to my computer",Fair,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"8 GB","512 GB","< 100 GB",Yes,Cloud,,,"Apple iCloud",,Other,No,Yes,No,No,,Yes,iPhone,,"iPhone 11",,No,,,,,"Fully Online","Somewhat confident","< 100 Mbps",Fair,"Somewhat likely",Yes,Complete
882,,"2020-07-27 16:35:44",Sophomore,,"College of Liberal Arts and Social Sciences",,Economics,,Male,"African American",,"Standard User [document writing/email/web]",Laptop,2019,13'',,No,,"Built-in to my computer",Excellent,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i7",,"8 GB","256 GB","100 GB - 500 GB",Yes,Cloud,,,"Apple iCloud",,Daily,Yes,No,Yes,Yes,Yes,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,"Apple Watch 3",,Face-to-Face,Neutral,"300 - 500 Mbps",Good,"Somewhat likely",Yes,Complete
883,,"2020-07-27 16:32:28","Masters Student (MS)",,"College of Liberal Arts and Social Sciences",,"Jack J. Valenti School of Communication",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2016,15'',,No,,"Built-in to my computer",Poor,"Dell Inspiron 5000",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","512 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,No,,Yes,iPhone,,Other,"Iphone 7 plus",No,,,,,"Fully Online","Moderately confident","300 - 500 Mbps",Excellent,"Neither likely nor unlikely",Yes,Complete
884,,"2020-07-27 16:33:52",Junior,,"College of Natural Sciences and Mathematics",Other,,Pharmacy,Male,Other,"Middle eastern","Standard User [document writing/email/web]",Laptop,2016,14'',,No,,No,Excellent,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"4 GB","128 GB","< 100 GB",No,,,,,,,,Yes,Yes,No,,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,"Apple Watch 3",,"Fully Online",Neutral,"< 100 Mbps",Excellent,"Somewhat unlikely",No,Complete
885,,"[not completed]",Senior,,"College of Liberal Arts and Social Sciences",,Other,Anthropology,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2017,14'',,No,,"Built-in to my computer",Fair,Other,Hp,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","1 TB","500 GB - 1 TB",No,,,,,,,,Yes,No,No,,Yes,iPhone,,"iPhone 11",,No,,,,,,,,,,,Incomplete
886,,"2020-07-27 16:36:19",Freshman,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2020,13'',,No,,"Built-in to my computer",Excellent,"Apple Macbook Air",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"16 GB","256 GB","< 100 GB",Yes,Cloud,,,"Apple iCloud",,Other,Yes,No,No,Yes,No,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,"Apple Watch 3",,"Fully Online","Somewhat confident","300 - 500 Mbps",Good,"Neither likely nor unlikely",Yes,Complete
887,,"[not completed]",Sophomore,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2019,13'',,"1 year",,"Built-in to my computer",Good,"Microsoft Surface",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i9",,"16 GB","128 GB","< 100 GB",,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
888,,"[not completed]",Freshman,,,,,,Female,White,,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
889,,"2020-07-27 16:43:35",Freshman,,"College of Liberal Arts and Social Sciences",,"Political Science",,Female,White,,"Standard User [document writing/email/web]",Laptop,2014,13'',,No,,"Built-in to my computer",Average,"Apple Macbook Pro",,Own,,"Mac OS",,"High Sierra",,"Intel Core i7",,"16 GB","512 GB","100 GB - 500 GB",Yes,Cloud,,,"Apple iCloud",,Weekly,Yes,Yes,No,No,,Yes,iPhone,,"iPhone 11",,Yes,"Apple Watch",,"Apple Watch 3",,"Fully Online","Moderately confident","< 100 Mbps",Excellent,"Very unlikely",Maybe,Complete
890,,"2020-07-27 16:36:34","Doctoral Student (PhD)",,"College of Liberal Arts and Social Sciences",,Psychology,,Female,"International (visa holders)",,"Power User [... plus programming/analytics]",Laptop,2013,13'',,No,,"Built-in to my computer",Average,"Apple Macbook Pro",,Own,,"Mac OS",,Other,"El Capitan","Intel Core i5",,"4 GB","512 GB","100 GB - 500 GB",No,,,,,,,,No,No,Yes,No,Yes,iPhone,,Other,"Iphone 7",No,,,,,"Fully Online","Very confident","300 - 500 Mbps",Excellent,"Very unlikely",Yes,Complete
891,,"2020-07-27 16:46:34",Junior,,"College of Liberal Arts and Social Sciences",,English,,Male,White,,"Standard User [document writing/email/web]",Laptop,2019,15'',,"1 year",,"Built-in to my computer",Good,"Lenovo Yoga",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","256 GB","< 100 GB",No,,,,,,,,No,No,No,,Yes,Samsung,,"Samsung Galaxy",,No,,,,,"Fully Online",Neutral,"100 - 300 Mbps",Excellent,"Neither likely nor unlikely",Yes,Complete
892,,"2020-07-27 16:36:50",Freshman,,"College of Liberal Arts and Social Sciences",,English,,Male,White,,"Standard User [document writing/email/web]",Laptop,2020,14'',,No,,"Built-in to my computer",Average,"Microsoft Surface",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,No,Yes,No,Yes,iPhone,,"iPhone X Series",,No,,,,,Hybrid/Blended,"Very confident","> 500 Mbps",Average,"Very unlikely",Maybe,Complete
893,,"[not completed]",Junior,,"College of Liberal Arts and Social Sciences",,"Health and Human Performance",,Female,Hispanic,,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
894,,"2020-07-27 16:39:01","Doctoral Student (PhD)",,"College of Liberal Arts and Social Sciences",,Psychology,,Female,Multiracial,,"Power User [... plus programming/analytics]",Laptop,2014,15'',,No,,"Built-in to my computer",Good,"Apple Macbook Pro",,"University property",,"Mac OS",,Catalina,,"Intel Core i7",,"16 GB","1 TB","500 GB - 1 TB",Yes,Both,Seagate,,Dropbox,,Daily,Yes,No,Yes,Yes,Yes,Yes,iPhone,,"iPhone 8",,Yes,Fitbit,,"Fitbit Versa",,Face-to-Face,"Very confident","100 - 300 Mbps",Average,"Somewhat likely",Maybe,Complete
895,,"[not completed]",Junior,,"College of Liberal Arts and Social Sciences",,Economics,,Male,"Prefer Not to Say",,"Power User [... plus programming/analytics]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
896,,"2020-07-27 16:45:32",Junior,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2018,15'',,No,,"Built-in to my computer",Average,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i7",,"16 GB","256 GB","< 100 GB",No,,,,,,,,No,No,Yes,No,Yes,iPhone,,Other,"iPhone 7",No,,,,,"Fully Online","Moderately confident","> 500 Mbps",Excellent,"Very likely",Yes,Complete
897,,"[not completed]",Junior,,"College of Liberal Arts and Social Sciences",,"Health and Human Performance",,Female,"Asian American",,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
898,,"2020-07-27 16:45:01",Junior,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,White,,"Standard User [document writing/email/web]",Laptop,2018,13'',,Other,"2 year ","Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"8 GB","128 GB","< 100 GB",Yes,Cloud,,,"Apple iCloud",,Weekly,Yes,No,No,No,,Yes,iPhone,,"iPhone X Series",,Yes,"Apple Watch",,"Apple Watch 3",,Hybrid/Blended,"Somewhat confident","100 - 300 Mbps",Average,"Somewhat likely",Yes,Complete
899,,"[not completed]",Junior,,"College of Liberal Arts and Social Sciences",,"Jack J. Valenti School of Communication",,Female,"African American",,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
900,,"2020-07-27 16:51:01",Senior,,"College of Liberal Arts and Social Sciences",,"Health and Human Performance",,Female,White,,"Standard User [document writing/email/web]",Laptop,2017,13'',,No,,"Built-in to my computer",Good,Other,"Dell Latitude 3500","University property",,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","512 GB","100 GB - 500 GB",Yes,Cloud,,,"Google Drive",,Monthly,No,No,Yes,No,,Yes,iPhone,,Other,"iPhone 6s",No,,,,,"Fully Online","Somewhat confident","100 - 300 Mbps",Average,"Somewhat likely",Maybe,Complete
901,,"2020-07-27 16:43:20",Senior,,"College of Liberal Arts and Social Sciences",,"Political Science",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2016,14'',,No,,"Built-in to my computer",Poor,Other,"HP ",Own,,"Chrome OS",,"Windows 10 Home",,"Intel Core i9",,"8 GB","1 TB","500 GB - 1 TB",No,,,,,,,,Yes,Yes,No,,Yes,iPhone,,Other,"iPhone 6s",No,,,,,"Fully Online","Not confident","100 - 300 Mbps",Poor,"Very likely",Maybe,Complete
902,,"[not completed]",Freshman,,"College of Liberal Arts and Social Sciences",,"Hispanic Studies",,Female,"African American",,"Standard User [document writing/email/web]",Laptop,2012,14'',,No,,"Built-in to my computer",Poor,Other,,Own,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
903,,"2020-07-27 16:46:43",Junior,,"College of Liberal Arts and Social Sciences",,"Health and Human Performance",,Female,White,,"Standard User [document writing/email/web]",Laptop,2019,15'',,"1 year",,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Mac OS",,"Windows 10 Home",,"Intel Core i7",,"32 GB","512 GB","100 GB - 500 GB",No,,,,,,,,No,No,Yes,No,Yes,iPhone,,"iPhone 8",,Yes,"Apple Watch",,"Apple Watch 3",,Hybrid/Blended,"Moderately confident","< 100 Mbps",Fair,"Very unlikely",Yes,Complete
904,,"[not completed]","Masters Student (MS)",,"College of Liberal Arts and Social Sciences",,"Communication Sciences and Disorders",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2015,13'',,No,,"Built-in to my computer",Average,"Apple Macbook Pro",,Own,,"Mac OS",,"High Sierra",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
905,,"[not completed]",Freshman,,"College of Liberal Arts and Social Sciences",,"Health and Human Performance",,Female,White,,"Standard User [document writing/email/web]",Laptop,2016,14'',,No,,"Built-in to my computer",Good,Other,HP,Own,,"Windows OS",,"Windows 10 Home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
906,,"2020-07-27 17:08:04",Freshman,,"College of Liberal Arts and Social Sciences",,"Jack J. Valenti School of Communication",,Male,Hispanic,,"Standard User [document writing/email/web]",Laptop,2016,14'',,No,,"Built-in to my computer",Excellent,Other,HP,Own,,"Mac OS",,"Windows 10 Home",,Other,"AMD A8-7410 APU","8 GB","1 TB","500 GB - 1 TB",Yes,Cloud,,,"Microsoft OneDrive",,Other,No,No,Yes,No,,Yes,iPhone,,"iPhone X Series",,No,,,,,"Fully Online","Very confident","300 - 500 Mbps",Excellent,"Neither likely nor unlikely",Yes,Complete
907,,"[not completed]",Sophomore,,"College of Liberal Arts and Social Sciences",,Psychology,,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2019,14'',,No,,No,Fair,Other,Idk,Own,,"Windows OS",,Other,Idk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
