"Record ID","Survey Identifier","Survey Timestamp","Participant classification","Please enter your classification","Main department","Please write down your main department",Gender,Race/Ethnicity,"Please enter your ethnicity","What type of computer user are you?","My primary computer is a","What year was your computer purchased?","What is the size of your computer screen?","The screen size of your computer","Do you have a warranty on your computer?","Warranty on your computer","Do you have a webcam?","How would you rate your computer?","What model is your computer?","Computer model","Computer ownership","Computer ownership","What is the operating system that you use?","Operating system","Operating system version","Operating system version","Computer processor","Please write your computer processor","Computer memory size (RAM)","Computer hard disk","Current size of your data in the computer's hard disk","Do you backup the data from your computer?","What backup method do you use?","Brand of external back-up disk","Please write down the brand of external back-up disk","Brand of cloud","Please write down the brand of your cloud back-up","Backup frequency","Have you set up automatic backups?","Have you experienced a catastrophic loss of data in the last three years?","Are you familiar with the UH Microsoft 365 OneDrive for automated, incremental backups?","Do you have a secondary computer device?","Is it synced with your primary computer device?","Do you have a smartphone?","Smartphone brand","Please write down the name of your smartphone","Smartphone model","Please write down the model of your smartphone","Do you have a smartwatch?","Smartwatch brand","Please write down the name of your smartwatch","Smartwatch model","Please write down the model of your smartwatch","What is your preferred course delivery format for courses in the Fall 2020 semester?","How confident do you feel installing and configuring software (docker containers, VPN, backup software, and others) by yourself on your computer?","Speed of your home Internet","Given your online course experience from Spring 2020, how reliable has your Internet connectivity been overall?","If you were provided adequate IT support to setup your primary computers with needed coursework software, how likely would you use the on campus Computer Labs in a future semester?","Would it be beneficial for IT personnel to have office hours (like a help desk) to assist you with with course-related software issues, general computer systems issues, and other related challenges?",Complete?
263,,"[not completed]",Freshman,,"Biology and Biochemistry",,Female,White,,"Standard User [document writing/email/web]",Laptop,2018,15'',,"1 year",,"Built-in to my computer",Good,"Apple Macbook Pro",,Own,,"Chrome OS",,"Windows 10 Pro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
264,,"2020-06-22 13:31:52","Doctoral Student (PhD)",,"Biology and Biochemistry",,Female,White,,"Power User [... plus programming/analytics]",Laptop,2020,15'',,"1 year",,"Built-in to my computer",Excellent,Other,"Dell G7",Own,,"Windows OS",,"Windows 10 Pro",,"Intel Core i7",,"32 GB","> 1 TB","< 100 GB",Yes,Both,Seagate,,"Microsoft OneDrive",,Daily,Yes,No,Yes,Yes,No,Yes,Google,,"Google Pixel 4",,No,,,,,Hybrid/Blended,"Very confident","> 500 Mbps",Good,"Very unlikely",Yes,Complete
265,,"2020-06-22 13:32:18",Freshman,,"Biology and Biochemistry",,Male,"Asian American",,"Standard User [document writing/email/web]",Laptop,2020,15'',,Other,"2 years","Built-in to my computer",Excellent,"Dell Inspiron 3000",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"4 GB","128 GB","< 100 GB",No,,,,,,,,No,No,Yes,No,Yes,Other,"Motorola ",Other,"Moto G6",No,,,,,"Fully Online","Moderately confident","100 - 300 Mbps",Good,"Somewhat likely",Yes,Complete
266,,"[not completed]",Sophomore,,"Biology and Biochemistry",,Female,"Prefer Not to Say",,"Standard User [document writing/email/web]",Laptop,2017,13'',,No,,"Built-in to my computer",Average,"Apple Macbook Air",,Own,,"Mac OS",,Catalina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
267,,"[not completed]",Senior,,"Earth and Atmospheric Sciences",,Female,White,,"Standard User [document writing/email/web]",Laptop,2012,14'',,No,,"Built-in to my computer",Average,"Microsoft Surface",,Own,,"Windows OS",,"Windows 10 Home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
268,,"2020-06-22 13:29:59",Junior,,Mathematics,,Male,White,,"Standard User [document writing/email/web]",Desktop,2018,13'',,No,,"Built-in to my computer",Good,"Microsoft Surface",,Own,,"Windows OS",,"Windows 10 Pro",,"Intel Core i7",,"32 GB","256 GB","< 100 GB",No,,,,,,,,No,Yes,Yes,No,Yes,iPhone,,"iPhone X Series",,No,,,,,Hybrid/Blended,"Somewhat confident","100 - 300 Mbps",Good,"Somewhat unlikely",Yes,Complete
269,,"2020-06-22 13:30:31",Freshman,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2013,Other,"11""",No,,"Built-in to my computer",Average,"Apple Macbook Air",,Own,,"Mac OS",,"High Sierra",,"Intel Core i5",,"8 GB","128 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone 11",,No,,,,,Face-to-Face,Neutral,"300 - 500 Mbps",Average,"Somewhat likely",Yes,Complete
270,,"2020-06-22 13:31:55","Doctoral Student (PhD)",,"Computer Science",,Male,Hispanic,,"Power User [... plus programming/analytics]",Desktop,2020,Other,34,No,,External,Excellent,Other,"I built it",Own,,"Windows OS",,"Windows 10 Home",,"AMD Ryzen",,"> 32 GB","> 1 TB","< 100 GB",Yes,Both,Seagate,,"Microsoft OneDrive",,Other,No,No,No,Yes,Yes,Yes,Other,OnePlus,Other,"OnePlus 5T",Yes,Other,Android,Other,Huwaii,"Fully Online","Very confident","< 100 Mbps",Good,"Very unlikely",No,Complete
271,,"2020-06-22 13:32:48",Sophomore,,Physics,,Female,Other,Iranian,"Power User [... plus programming/analytics]",Laptop,2019,15'',,"1 year",,"Built-in to my computer",Average,"Dell Inspiron 5000",,Own,,"Windows OS",,"Windows 10 Pro",,"Intel Core i7",,"32 GB","512 GB","100 GB - 500 GB",Yes,Cloud,,,"Google Drive",,Other,Yes,No,Yes,No,,Yes,iPhone,,"iPhone 8",,No,,,,,Hybrid/Blended,"Moderately confident","300 - 500 Mbps",Average,"Neither likely nor unlikely",Maybe,Complete
272,,"2020-06-22 13:51:14",Junior,,"Biology and Biochemistry",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2016,Other,"11""",No,,"Built-in to my computer",Excellent,Other,"Samsung ",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i9",,"4 GB","128 GB","< 100 GB",Yes,Cloud,,,"Microsoft OneDrive",,Weekly,Yes,No,No,No,,Yes,iPhone,,"iPhone 8",,No,,,,,"Fully Online",Neutral,"300 - 500 Mbps",Excellent,"Somewhat likely",Yes,Complete
273,,"2020-06-22 13:35:00",Sophomore,,Chemistry,,Male,Hispanic,,"Power User [... plus programming/analytics]",Laptop,2019,15'',,"1 year",,"Built-in to my computer",Excellent,"Dell Inspiron 7000",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,No,,Yes,Other,"Lg ",Other,"Stylo 4",Yes,Other,Fossil,Other,"Sport wear OS",Face-to-Face,"Moderately confident","< 100 Mbps",Average,"Neither likely nor unlikely",Yes,Complete
274,,"[not completed]","Doctoral Student (PhD)",,"Biology and Biochemistry",,Female,"International (visa holders)",,"Power User [... plus programming/analytics]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
275,,"2020-06-22 13:33:47",Junior,,"Computer Science",,Male,White,,"Power User [... plus programming/analytics]",Laptop,2018,15'',,No,,"Built-in to my computer",Good,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"8 GB","256 GB","< 100 GB",No,,,,,,,,No,No,No,,Yes,Other,"OnePlus 5T",Other,"OnePlus 5T",No,,,,,Face-to-Face,"Very confident","< 100 Mbps",Good,"Neither likely nor unlikely",Maybe,Complete
276,,"2020-06-22 13:36:39","Doctoral Student (PhD)",,"Earth and Atmospheric Sciences",,Male,White,,"Power User [... plus programming/analytics]",Laptop,2018,15'',,No,,"Built-in to my computer",Excellent,Other,System76,Own,,Other,Linux,Other,"Pop OS 20.04","Intel Core i9",,"> 32 GB","512 GB","< 100 GB",No,,,,,,,,No,Yes,Yes,No,Yes,iPhone,,Other,"Iphone SE",No,,,,,"Fully Online","Moderately confident","> 500 Mbps",Excellent,"Very unlikely",Maybe,Complete
277,,"2020-06-22 13:47:32",Junior,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2017,15'',,No,,"Built-in to my computer",Good,Other,"HP Pavilion Laptop 15",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","1 TB","100 GB - 500 GB",No,,,,,,,,No,No,Yes,No,Yes,Samsung,,"Samsung Galaxy",,No,,,,,Hybrid/Blended,"Somewhat confident","< 100 Mbps",Good,"Somewhat likely",Maybe,Complete
278,,"[not completed]",Freshman,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2017,13'',,"1 year",,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Mac OS",,Catalina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
279,,"[not completed]",Junior,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2018,13'',,No,,"Built-in to my computer",Excellent,"Dell Inspiron 5000",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,No,,Yes,Samsung,,"Samsung Galaxy",,No,,,,,,,,,,,Incomplete
280,,"2020-06-22 13:41:38","Doctoral Student (PhD)",,"Computer Science",,Male,"International (visa holders)",,"Power User [... plus programming/analytics]",Laptop,2018,13'',,"1 year",,"Built-in to my computer",Good,"Apple Macbook Pro",,"University property",,"Mac OS",,"High Sierra",,"Intel Core i5",,"8 GB","256 GB","< 100 GB",No,,,,,,,,No,Yes,Yes,No,Yes,iPhone,,"iPhone X Series",,Yes,Other,"a moderate smartwatch",Other,"a moderate smartwatch","Fully Online",Neutral,"< 100 Mbps",Average,"Somewhat unlikely",Maybe,Complete
281,,"[not completed]",Senior,,"Computer Science",,Female,"Asian American",,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
282,,"2020-06-22 13:40:24",Senior,,"Computer Science",,Female,"Asian American",,"Power User [... plus programming/analytics]",Laptop,2019,13'',,"1 year",,"Built-in to my computer",Good,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i5",,"8 GB","256 GB","< 100 GB",No,,,,,,,,No,Yes,No,,Yes,iPhone,,"iPhone 11",,No,,,,,"Fully Online","Moderately confident","300 - 500 Mbps",Excellent,"Very unlikely",No,Complete
283,,"2020-06-22 13:40:40",Senior,,"Computer Science",,Male,White,,"Power User [... plus programming/analytics]",Laptop,2017,15'',,"3 year",,"Built-in to my computer",Average,Other,HP,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"8 GB","1 TB","500 GB - 1 TB",No,,,,,,,,No,Yes,No,,Yes,iPhone,,"iPhone X Series",,No,,,,,"Fully Online","Moderately confident","300 - 500 Mbps",Excellent,"Very unlikely",Maybe,Complete
284,,"2020-06-22 13:47:38","Masters Student (MS)",,"Computer Science",,Male,"International (visa holders)",,"Power User [... plus programming/analytics]",Laptop,2019,15'',,"1 year",,"Built-in to my computer",Good,Other,FX505DY-ES51,Own,,"Windows OS",,"Windows 10 Home",,"AMD Ryzen",,"8 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,Google,,Other,"Pixel 3",No,,,,,Face-to-Face,"Very confident","< 100 Mbps",Good,"Somewhat likely",Yes,Complete
285,,"2020-06-22 13:47:06",Senior,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2016,13'',,No,,"Built-in to my computer",Excellent,Other,"Dell Inspiron 13-7359",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"8 GB","256 GB","< 100 GB",No,,,,,,,,No,No,Yes,No,Yes,iPhone,,Other,"iPhone 7",No,,,,,Hybrid/Blended,"Moderately confident","100 - 300 Mbps",Excellent,"Very unlikely",Yes,Complete
286,,"[not completed]",Sophomore,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2015,14'',,No,,"Built-in to my computer",Average,"Apple Macbook Air",,Own,,"Mac OS",,Catalina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
287,,"[not completed]",Junior,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2017,15'',,No,,"Built-in to my computer",Average,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i7",,"8 GB","512 GB","500 GB - 1 TB",Yes,Both,Samsung,,"Apple iCloud",,Monthly,Yes,No,Yes,Yes,No,,,,,,,,,,,,,,,,,Incomplete
288,,"[not completed]",Junior,,Chemistry,,Female,"African American",,"Standard User [document writing/email/web]",Laptop,2017,15'',,No,,"Built-in to my computer",Average,"Microsoft Surface",,Own,,"Windows OS",,"Windows 10 Home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
289,,"2020-06-22 13:49:01",Senior,,"Computer Science",,Male,Other,Indian,"Power User [... plus programming/analytics]",Laptop,2018,15'',,"1 year",,"Built-in to my computer",Excellent,Other,"MSI GP63 Leopard 8RE",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","> 1 TB","> 1 TB",No,,,,,,,,No,Yes,Yes,No,Yes,Google,,Other,"Google Pixel 3",No,,,,,Hybrid/Blended,"Very confident","< 100 Mbps",Good,"Very unlikely",Yes,Complete
290,,"2020-06-22 13:53:04","Doctoral Student (PhD)",,Physics,,Male,White,,"Power User [... plus programming/analytics]",Desktop,2013,Other,"dual-23"" moniters",No,,No,Excellent,Other,"Dell Precsion T3610","University property",,Other,Linux,Other,"Ubuntu 18",Other,"Intel Xeon(R)","16 GB","> 1 TB","500 GB - 1 TB",Yes,"External backup disk",WD,,,,Monthly,No,No,No,Yes,No,Yes,Google,,Other,"Nexus 5x",No,,,,,"Fully Online","Moderately confident","300 - 500 Mbps",Excellent,"Very unlikely",Yes,Complete
291,,"2020-06-22 13:58:00",Freshman,,"Biology and Biochemistry",,Female,Multiracial,,"Standard User [document writing/email/web]",Laptop,2019,Other,"12""",No,,"Built-in to my computer",Good,Other,"Lenovo IdeaPad FLEX-14API",Own,,"Windows OS",,"Windows 10 Home",,"AMD Ryzen",,"> 32 GB","512 GB","< 100 GB",No,,,,,,,,No,Yes,Yes,Yes,Yes,iPhone,,Other,"iPhone 6S",No,,,,,Face-to-Face,Neutral,"> 500 Mbps",Average,"Somewhat likely",Maybe,Complete
292,,"2020-06-22 13:55:33",Junior,,Physics,,Female,"Prefer Not to Say",,"Standard User [document writing/email/web]",Laptop,2017,14'',,No,,"Built-in to my computer",Average,Other,"hp EliteBook",Own,,"Windows OS",,"Windows 10 Pro",,"Intel Core i5",,"8 GB","128 GB","< 100 GB",Yes,Cloud,,,"Google Drive",,Weekly,No,No,No,Yes,No,Yes,iPhone,,Other,"iphone SE",No,,,,,Hybrid/Blended,"Moderately confident","< 100 Mbps",Poor,"Somewhat unlikely",Yes,Complete
293,,"2020-06-22 13:48:41",Junior,,Mathematics,,Male,"Asian American",,"Standard User [document writing/email/web]",Tablet,2018,14'',,No,,External,Good,"Microsoft Surface",,Own,,"Windows OS",,"Windows 10 Pro",,"Intel Core i7",,"8 GB","128 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,Yes,Yes,Yes,iPhone,,Other,"Iphone 7",No,,,,,Hybrid/Blended,Neutral,"100 - 300 Mbps",Good,"Neither likely nor unlikely",Yes,Complete
294,,"2020-06-22 13:50:49",Freshman,,"Biology and Biochemistry",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2013,14'',,No,,"Built-in to my computer",Excellent,"Apple Macbook Air",,Own,,"Chrome OS",,"High Sierra",,"Intel Core i5",,"16 GB","128 GB","100 GB - 500 GB",Yes,Cloud,,,"Apple iCloud",,Other,Yes,No,No,No,,Yes,iPhone,,Other,"iphone 7",Yes,"Apple Watch",,"Apple Watch 3",,Face-to-Face,Neutral,"100 - 300 Mbps",Average,"Somewhat unlikely",Yes,Complete
295,,"2020-06-22 13:53:28",Sophomore,,Mathematics,,Female,Hispanic,,"Power User [... plus programming/analytics]",Laptop,2018,13'',,No,,No,Fair,"Microsoft Surface",,Own,,"Windows OS",,"Windows 10 Pro",,"Intel Core i7",,"32 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,No,,Yes,iPhone,,"iPhone X Series",,No,,,,,Face-to-Face,"Not confident","100 - 300 Mbps",Poor,"Somewhat unlikely",Yes,Complete
296,,"[not completed]",Sophomore,,Mathematics,,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2017,13'',,No,,"Built-in to my computer",Good,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
297,,"[not completed]",Freshman,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2019,13'',,,,"Built-in to my computer",Excellent,"Apple Macbook Pro",,Own,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
298,,"[not completed]",Senior,,"Biology and Biochemistry",,Female,White,,"Standard User [document writing/email/web]",Laptop,2020,15'',,No,,"Built-in to my computer",Excellent,Other,"HP Inspire",Own,,"Windows OS",,"Windows 10 Home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
299,,"[not completed]",Junior,,"Biology and Biochemistry",,Male,Hispanic,,"Standard User [document writing/email/web]",Laptop,2018,13'',,"1 year",,"Built-in to my computer",Excellent,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
300,,"2020-06-22 13:59:32",Senior,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2017,13'',,No,,"Built-in to my computer",Excellent,"Apple Macbook Pro",,Own,,"Mac OS",,Catalina,,"Intel Core i7",,"16 GB","128 GB","500 GB - 1 TB",Yes,"External backup disk",Seagate,,,,Other,Yes,No,No,Yes,No,Yes,iPhone,,"iPhone 11",,No,,,,,Hybrid/Blended,"Somewhat confident","300 - 500 Mbps",Average,"Neither likely nor unlikely",Yes,Complete
301,,"2020-06-22 13:59:08",Sophomore,,"Biology and Biochemistry",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2020,13'',,No,,"Built-in to my computer",Excellent,"Apple Macbook Air",,Own,,"Chrome OS",,"Windows 10 Home",,"Intel Core i5",,"16 GB","1 TB","500 GB - 1 TB",Yes,Cloud,,,"Google Drive",,Daily,Yes,No,Yes,No,,Yes,iPhone,,"iPhone 11",,No,,,,,Face-to-Face,Neutral,"300 - 500 Mbps",Fair,"Somewhat likely",Yes,Complete
302,,"[not completed]",Sophomore,,"Computer Science",,Male,"Asian American",,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
303,,"[not completed]",Sophomore,,"Computer Science",,Female,"African American",,"Power User [... plus programming/analytics]",Laptop,2015,13'',,No,,"Built-in to my computer",Good,"Apple Macbook Pro",,Own,,"Mac OS",,Mojave,,"Intel Core i5",,"8 GB","128 GB","< 100 GB",No,,,,,,,,No,No,No,,,,,,,,,,,,,,,,,,Incomplete
304,,"2020-06-22 14:02:44",Freshman,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2015,13'',,No,,"Built-in to my computer",Good,"Apple Macbook Air",,Own,,"Mac OS",,Catalina,,"Intel Core i9",,"> 32 GB","128 GB","< 100 GB",Yes,Cloud,,,"Apple iCloud",,Monthly,No,No,Yes,Yes,Yes,Yes,iPhone,,"iPhone 11",,No,,,,,"Fully Online","Moderately confident","100 - 300 Mbps",Excellent,"Neither likely nor unlikely",Maybe,Complete
305,,"[not completed]",Sophomore,,"Computer Science",,Male,"Asian American",,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
306,,"2020-06-22 14:49:02","Post-Baccalaureate (second degree)",,"Computer Science",,Male,White,,"Power User [... plus programming/analytics]",Laptop,2019,Other,24,No,,No,Good,Other,"HP zBook 15",Other,employer,"Windows OS",,"Windows 10 Enterprise",,"Intel Core i7",,"32 GB","512 GB","100 GB - 500 GB",No,,,,,,,,No,No,Yes,No,Yes,Samsung,,"Samsung Galaxy",,No,,,,,Hybrid/Blended,"Very confident","> 500 Mbps",Excellent,"Somewhat unlikely",Maybe,Complete
307,,"[not completed]",Sophomore,,"Biology and Biochemistry",,Female,Other,"middle eastern","Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
308,,"2020-06-22 14:05:34",Sophomore,,"Computer Science",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2019,13'',,"1 year",,"Built-in to my computer",Good,Other,"Asus Zenbook",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"8 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,Yes,Yes,No,Yes,Samsung,,"Samsung Galaxy",,No,,,,,Hybrid/Blended,"Moderately confident","< 100 Mbps",Fair,"Neither likely nor unlikely",Maybe,Complete
309,,"2020-06-22 14:11:15",Junior,,"Biology and Biochemistry",,Male,"Asian American",,"Power User [... plus programming/analytics]",Laptop,2018,15'',,"1 year",,"Built-in to my computer",Average,Other,"HP Pavilion",Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"16 GB","1 TB","< 100 GB",No,,,,,,,,No,Yes,No,,Yes,Samsung,,"Samsung Galaxy",,No,,,,,Hybrid/Blended,Neutral,"100 - 300 Mbps",Average,"Somewhat likely",Yes,Complete
310,,"2020-06-22 14:08:37","Masters Student (MS)",,"Computer Science",,Male,"International (visa holders)",,"Power User [... plus programming/analytics]",Laptop,2018,15'',,No,,"Built-in to my computer",Good,Other,"MSI GS65 stealth",Own,,"Windows OS",,"Windows 10 Pro",,"Intel Core i7",,"16 GB","256 GB","100 GB - 500 GB",Yes,"External backup disk",WD,,,,Weekly,Yes,Yes,Yes,Yes,No,Yes,Other,oneplus,Other,"oneplus 6t",No,,,,,Hybrid/Blended,"Very confident","< 100 Mbps",Average,"Neither likely nor unlikely",Yes,Complete
311,,"[not completed]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
312,,"[not completed]","Post-Baccalaureate (non-degree option)",,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2015,13'',,No,,"Built-in to my computer",Good,"Microsoft Surface",,Own,,"Windows OS",,"Windows 10 Pro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
313,,"2020-06-22 14:20:14",Freshman,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Laptop,2018,14'',,No,,"Built-in to my computer",Good,"Microsoft Surface",,Own,,"Chrome OS",,"Windows 10 Pro",,Other,idk,"> 32 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,"iPhone X Series",,No,,,,,Hybrid/Blended,"Somewhat confident","< 100 Mbps",Average,"Neither likely nor unlikely",Yes,Complete
314,,"2020-06-22 14:20:21",Junior,,"Computer Science",,Male,White,,"Power User [... plus programming/analytics]",Desktop,2020,Other,"20 inch",No,,No,Excellent,Other,"Custom built gaming pc",Own,,"Windows OS",,"Windows 10 Pro",,"AMD Ryzen",,"16 GB","> 1 TB","> 1 TB",Yes,Both,WD,,"Google Drive",,Weekly,Yes,No,Yes,Yes,Yes,Yes,iPhone,,Other,"iPhone 7",Yes,"Apple Watch",,"Apple Watch 3",,Face-to-Face,"Very confident","< 100 Mbps",Excellent,"Very unlikely",No,Complete
315,,"[not completed]",Freshman,,"Biology and Biochemistry",,Female,"Asian American",,"Standard User [document writing/email/web]",Desktop,2014,Other,24,No,,No,Average,Other,unknown,Own,,"Windows OS",,"Windows 10 Pro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
316,,"2020-06-22 14:21:45","Doctoral Student (PhD)",,"Earth and Atmospheric Sciences",,Male,"African American",,"Power User [... plus programming/analytics]",Laptop,2018,13'',,No,,"Built-in to my computer",Average,"Apple Macbook Pro",,Own,,"Mac OS",,"High Sierra",,"Intel Core i5",,"4 GB","256 GB","100 GB - 500 GB",Yes,Cloud,,,"Google Drive",,Daily,No,Yes,No,No,,Yes,iPhone,,"iPhone X Series",,No,,,,,Hybrid/Blended,"Very confident","100 - 300 Mbps",Average,"Somewhat likely",Yes,Complete
317,,"2020-06-22 14:27:17",Junior,,"Biology and Biochemistry",,Female,White,,"Standard User [document writing/email/web]",Desktop,2018,15'',,No,,"Built-in to my computer",Good,"Lenovo Yoga",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i5",,"8 GB","256 GB","100 GB - 500 GB",No,,,,,,,,No,No,No,,Yes,iPhone,,Other,"iPhone 6s",No,,,,,Hybrid/Blended,"Not confident","< 100 Mbps",Fair,"Very unlikely",Maybe,Complete
318,,"2020-06-22 14:27:34",Freshman,,"Computer Science",,Male,Hispanic,,"Power User [... plus programming/analytics]",Laptop,2019,15'',,No,,"Built-in to my computer",Average,"Lenovo ThinkPad",,Own,,"Windows OS",,"Windows 10 Home",,"Intel Core i7",,"8 GB","512 GB","< 100 GB",No,,,,,,,,No,Yes,Yes,No,Yes,iPhone,,"iPhone 8",,Yes,"Apple Watch",,"Apple Watch 3",,Face-to-Face,"Moderately confident","< 100 Mbps",Fair,"Very unlikely",Maybe,Complete
319,,"2020-06-22 14:31:47",Junior,,"Computer Science",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2018,14'',,No,,"Built-in to my computer",Good,Other,"toshiba tecra",Own,,"Windows OS",,"Windows 10 Pro",,"Intel Core i7",,"16 GB","256 GB","100 GB - 500 GB",Yes,"External backup disk",Seagate,,,,Other,No,No,Yes,Yes,No,Yes,Other,"motorola ",Other,"moto g stylus ",No,,,,,"Fully Online","Moderately confident","< 100 Mbps",Excellent,"Very unlikely",Maybe,Complete
320,,"2020-06-22 14:28:12",Senior,,"Biology and Biochemistry",,Female,Hispanic,,"Standard User [document writing/email/web]",Laptop,2017,13'',,"3 year",,"Built-in to my computer",Average,"Apple Macbook Air",,Own,,"Mac OS",,"High Sierra",,"AMD Ryzen",,"8 GB","256 GB","< 100 GB",Yes,Cloud,,,"Apple iCloud",,Monthly,Yes,No,No,No,,Yes,iPhone,,Other,"iPhone 7 Plus",No,,,,,Hybrid/Blended,"Not confident","< 100 Mbps",Poor,"Very likely",Yes,Complete
321,,"[not completed]",Freshman,,"Biology and Biochemistry",,Female,White,,"Standard User [document writing/email/web]",Laptop,2016,15'',,No,,No,Average,Other,Sony,Own,,"Windows OS",,"Windows 10 Home",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
322,,"2020-06-22 14:33:26",Senior,,"Biology and Biochemistry",,Male,White,,"Power User [... plus programming/analytics]",Desktop,2019,Other,"27"" + 24""",No,,External,Excellent,Other,"Custom Gaming Rig + Personal Linux Server",Own,,Other,"Windows + Linux (Ubuntu LTS 20.04)","Windows 10 Pro",,"AMD Ryzen",,"16 GB","> 1 TB","> 1 TB",Yes,"External backup disk",Other,"Wd Red in Server",,,Weekly,Yes,No,No,Yes,Yes,Yes,Other,ZTE,Other,"Axon 7 (Lineage OS 15.1)",No,,,,,"Fully Online","Very confident","> 500 Mbps",Excellent,"Very unlikely",Maybe,Complete
323,,"[not completed]",Freshman,,"Earth and Atmospheric Sciences",,Male,Hispanic,,"Standard User [document writing/email/web]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Incomplete
